ProjectName,Theorem,ProofSequence,Introduction_Patterns,Simplification_Patterns,Application_Patterns,Rewriting_Patterns,Automation_Patterns,Analysis_Patterns
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,weak_refl,"['intro', 'simpl', 'auto']",0,1,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,tau_weak,"['intros', 'destruct', 'simpl', 'intros', 'apply', 'assumption', 'destruct', 'exists', 'auto', 'apply', 'assumption']",2,1,0,0,2,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,weak_tau,"['intros', 'destruct', 'simpl', 'intros', 'apply', 'assumption', 'exists', 'auto', 'exists', 'auto']",2,1,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,red_weak,"['intros', 'apply', 'auto']",1,0,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,taus_weak,"['intros', 'destruct', 'simpl', 'intros', 'apply', 'assumption', 'destruct', 'exists', 'auto', 'apply', 'assumption']",2,1,0,0,2,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,weak_taus,"['intros', 'destruct', 'simpl', 'intros', 'apply', 'assumption', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'apply', 'assumption']",2,1,0,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Reductions.json,Weak_ind,"['intros', 'destruct', 'induction', '[ apply Hrefl | apply Htau with x1', 'assumption', 'destruct', 'destruct', 'induction', 'apply', 'simpl', 'auto', 'clear', 'induction', '[ apply Hrefl | apply Htau with u', 'assumption', 'apply', 'auto', 'exists', 'auto', 'exists', 'assumption']",0,2,1,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,monotonic_wmonotonic,"['intros', 'split', 'auto', 'apply', 'intros', 'apply', 'auto', 'intros', 'apply', 'auto', 'intro', 'destruct', 'auto', 'apply', 'auto']",2,0,2,0,3,1
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,star_wmon,"['split', 'intros', 'induction', 'auto', 'apply', 'auto', 'intros', 'unfold', 'apply', 'apply', 'auto', 'apply', 'apply', 'apply', 'auto', 'apply', 'exact', 'intros', 'unfold', 'apply', 'apply', 'auto', 'apply', 'intros', 'cgen', 'cgen', 'induction', 'intros', 'exists', 'auto', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'elim', 'intros', 'exists', 'auto', 'apply', 'auto', 'apply', 'auto', 'apply', 'auto']",3,0,4,0,3,7
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,Comp_wmon,"['unfold', 'split', 'intros', 'apply', 'apply', 'exact', 'intros', 'exact', 'intros', 'apply', 'apply', 'apply', 'exact', 'apply']",1,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,Union2_wmon,"['unfold', 'split', 'intros', 'destruct', '[ left', 'apply', 'apply', 'auto', 'intros', 'celim', 'intro', ""[ destruct (wmon_t HF HR _ _ _ Hxx' xRy) as [ y' ] | destruct (wmon_t HG HR _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', '[ left | right ]', 'auto', 'intros', 'celim', 'intro', ""[ destruct (wmon_a HF HR HS HRS HRS' _ _ _ _ Hxx' xRy) as [ y' ] | destruct (wmon_a HG HR HS HRS HRS' _ _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', '[ left | right ]', 'auto']",0,0,2,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,Union_wmon,"['unfold', 'split', 'intros', 'destruct', 'exists', 'apply', 'auto', 'intros', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,1,0,2,5
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,UExp_wmon,"['intro', 'induction', 'apply', 'simpl', 'fold', 'apply', 'auto', 'fold', 'apply', 'auto']",0,1,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,UIter_wmon,"['unfold', 'change', 'apply', 'intro', 'apply']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,Chaining_wmon,"['unfold', 'split', 'intros', 'destruct', 'exists', '[ apply (wmon_m HF HRS) | apply (wmon_m HG HRS) ]', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'exists', 'apply', 'auto', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,3,5
/mnt/cisk/zmq/dataset/data/weak-up-to/WeakMonotonic.json,chaing_l_wmon,"['split', 'intros', 'destruct', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'exists', 'apply', 'auto', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,3,5
